INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.8965625, eval/precision = 0.93178034, eval/recall = 0.930619, global_step = 50000, loss = 0.32972035
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.90125, eval/precision = 0.9314899, eval/recall = 0.93768173, global_step = 50000, loss = 0.28471726
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.8625, eval/precision = 0.91480386, eval/recall = 0.90112174, global_step = 50000, loss = 0.35675877
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.884375, eval/precision = 0.91051996, eval/recall = 0.9385127, global_step = 50000, loss = 0.3259525
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.8775, eval/precision = 0.9292714, eval/recall = 0.9061072, global_step = 50000, loss = 0.3348658
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.8853125, eval/precision = 0.9051211, eval/recall = 0.94684386, global_step = 50000, loss = 0.3233692
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.8725, eval/precision = 0.9739213, eval/recall = 0.85334444, global_step = 50000, loss = 0.3454892
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.884375, eval/precision = 0.91690546, eval/recall = 0.930619, global_step = 50000, loss = 0.32302696
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.901875, eval/precision = 0.9255795, eval/recall = 0.9455754, global_step = 50000, loss = 0.30777323
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.8559375, eval/precision = 0.9208478, eval/recall = 0.88450354, global_step = 50000, loss = 0.37968716
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.8390625, eval/precision = 0.9261261, eval/recall = 0.8541753, global_step = 50000, loss = 0.40020332
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.8678125, eval/precision = 0.9154104, eval/recall = 0.90818447, global_step = 50000, loss = 0.33777574
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.8790625, eval/precision = 0.9301533, eval/recall = 0.9073536, global_step = 50000, loss = 0.3325417
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.9015625, eval/precision = 0.92485785, eval/recall = 0.94599086, global_step = 50000, loss = 0.3095771
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.884375, eval/precision = 0.9585772, eval/recall = 0.88450354, global_step = 50000, loss = 0.33139122
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.8959375, eval/precision = 0.93064785, eval/recall = 0.9310345, global_step = 50000, loss = 0.3061964
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.87875, eval/precision = 0.89269054, eval/recall = 0.95348835, global_step = 50000, loss = 0.32692075
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.91375, eval/precision = 0.9463762, eval/recall = 0.9385127, global_step = 50000, loss = 0.28256848
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.87375, eval/precision = 0.9296741, eval/recall = 0.9003322, global_step = 50000, loss = 0.3534241
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.88375, eval/precision = 0.93650794, eval/recall = 0.9069381, global_step = 50000, loss = 0.36693043
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.9025, eval/precision = 0.96043956, eval/recall = 0.907769, global_step = 50000, loss = 0.33252564
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.8909375, eval/precision = 0.9179529, eval/recall = 0.9389281, global_step = 50000, loss = 0.32175386
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.9075, eval/precision = 0.93887734, eval/recall = 0.93809724, global_step = 50000, loss = 0.29637754
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.8853125, eval/precision = 0.9047619, eval/recall = 0.94723725, global_step = 50000, loss = 0.32294774
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.89625, eval/precision = 0.93067664, eval/recall = 0.93144995, global_step = 50000, loss = 0.33188164
